month,artist_name,plays_t,unique_tracks_t,plays_per_track_t,days_active_t,last_play_gap_days_t,last_play_gap_days_t_was_negative,total_scrobbles_month,total_monthly_scrobbles,share_t,first_seen_month,months_since_first_seen,is_first_month,track_novelty_rate_t
2020-03-01 00:00:00+00:00,Mikey Wax,1,1,1.0,1,1.3506828703703704,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Mosss,1,1,1.0,1,14.35832175925926,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Muse,1,1,1.0,1,11.310405092592593,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Myles Parrish,2,1,2.0,1,1.0367939814814815,0,764,764,0.002617801047120419,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,NF,75,52,1.4423076923076923,9,0.061793981481481484,0,764,764,0.09816753926701571,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Nick Murphy,1,1,1.0,1,6.0395717592592595,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Noah Kahan,35,11,3.1818181818181817,4,8.04582175925926,0,764,764,0.04581151832460733,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Oliver Riot,1,1,1.0,1,10.136099537037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Ollie MN,1,1,1.0,1,9.004849537037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,OneRepublic,40,31,1.2903225806451613,4,1.395127314814815,0,764,764,0.05235602094240838,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Panama Wedding,1,1,1.0,1,2.197210648148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Panic! at the Disco,1,1,1.0,1,6.152766203703703,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Paul Rosenberg,1,1,1.0,1,7.224293981481481,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Peach Pit,1,1,1.0,1,2.1930439814814813,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,"Perspective, a lovely hand to hold",1,1,1.0,1,6.259710648148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Phum Viphurit,5,4,1.25,4,3.1208217592592593,0,764,764,0.006544502617801047,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Prince of falls,1,1,1.0,1,8.056238425925926,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Queen,11,10,1.1,4,3.872210648148148,0,764,764,0.014397905759162303,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Red Hearse,1,1,1.0,1,2.211099537037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Rich Brian,8,7,1.1428571428571428,1,6.142349537037037,0,764,764,0.010471204188481676,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,SAGUN,1,1,1.0,1,14.29582175925926,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Salvador Sobral,16,11,1.4545454545454546,3,11.929849537037038,0,764,764,0.020942408376963352,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Sara Diamond,1,1,1.0,1,6.271516203703704,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Sarah and the Sundays,1,1,1.0,1,6.27568287037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Seafret,1,1,1.0,1,8.365266203703703,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Shura,1,1,1.0,1,2.2194328703703703,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Spencer Sutherland,11,10,1.1,1,9.95207175925926,0,764,764,0.014397905759162303,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Still Woozy,1,1,1.0,1,9.034016203703704,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Synapson,1,1,1.0,1,8.06179398148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
